image_path,question,video_path
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000154.jpg,Is there an animal in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267978.jpg,Is this a outdoor scene?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270315.jpg,What sport is this ?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014493.jpg,Is there a tie in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013720.jpg,Is there a cup in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270079.jpg,Are there any vases in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000450.jpg,Is there any furniture in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266569.jpg,Is this indoor or outdoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014366.jpg,What silverware is shown in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267780.jpg,What color is the jacket of the person in this photograph?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015586.jpg,Is there an animal in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269945.jpg,Is this a outdoor scene?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269273.jpg,What is the bowl probably made of?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264020.jpg,What animal is shown in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012933.jpg,Is there a car in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000643.jpg,Is this a indoor scene?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010176.jpg,Is there a potted plant in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262495.jpg,What is the dog doing with the person?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000326.jpg,What color is the box that the cat is in?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267531.jpg,What color of shirt is this person wearing?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267691.jpg,What is the pan the pizza is on made of?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015451.jpg,What color is the first scooters seat?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010545.jpg,Are there any people in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262286.jpg,What vehicle is shown in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014546.jpg,What color is the top of this clock tower?,
